"Time","vhx","vhy"
0,0,0
1,3.819464034751094e-16,-9.971324759022032e-14
2,7.353009963596026e-15,1.306451843550338e-12
3,3.088561371627871e-14,7.986036317583749e-12
4,8.114015868972243e-14,2.476934952189684e-11
5,1.658327090379285e-13,5.647053939972869e-11
6,2.890461877498001e-13,1.073397841538623e-10
7,4.509302502078847e-13,1.808216648390672e-10
8,6.479466108173188e-13,2.794831904617796e-10
9,8.734470683530677e-13,4.050315225170829e-10
10,1.118451316954225e-12,5.583761193164796e-10
11,1.372540252789484e-12,7.397104885584785e-10
12,1.624810075587917e-12,9.486004008872274e-10
13,1.864850588628568e-12,1.184071835878186e-09
14,2.083722338026669e-12,1.444695340065981e-09
15,2.2749143904652e-12,1.728665222575496e-09
16,2.435269289550746e-12,2.033872880369079e-09
17,2.565865031980631e-12,2.357973968647947e-09
18,2.672846333043221e-12,2.698449345140809e-09
19,2.768199332225205e-12,3.052659836911083e-09
20,2.870465409231859e-12,3.417894959340618e-09
21,3.005391044075776e-12,3.791415781471345e-09
22,3.206511723070798e-12,4.170492187136911e-09
23,3.515668802316932e-12,4.552434828277746e-09
24,3.983459015362975e-12,4.934622104603332e-09
25,4.669616969199079e-12,5.314522531451462e-09
26,5.643331526014846e-12,5.689712875062964e-09
27,6.983497428791035e-12,6.05789244202421e-09
28,8.778903907131211e-12,6.416893908365926e-09
29,1.112836230527565e-11,6.764691065108011e-09
30,1.414077501575127e-11,7.099403842404135e-09
31,1.793514818762927e-11,7.41930095534326e-09
32,2.264055081528904e-11,7.722800492269079e-09
33,2.839602290855227e-11,8.008468742371391e-09
34,3.535043550412026e-11,8.275017534281685e-09
35,4.366230530672519e-11,8.521300332270174e-09
36,5.349956675116479e-11,8.746307312007484e-09
37,6.503930425758297e-11,8.949159614184444e-09
38,7.846744741572956e-11,9.129102951894903e-09
39,9.397843178277566e-11,9.285500726786405e-09
40,1.117748279163953e-10,9.41782678968869e-09
41,1.320669411927764e-10,9.525657963786624e-09
42,1.550723848800316e-10,9.608666432399748e-09
43,1.810156288531951e-10,9.666612079023884e-09
44,2.10127526248955e-10,9.69933485439865e-09
45,2.426448202681036e-10,9.706747233903039e-09
46,2.788096332422904e-10,9.688826818438479e-09
47,3.188689399901519e-10,9.645609123033016e-09
48,3.630740273970932e-10,9.577180589575819e-09
49,4.116799420633818e-10,9.483671853268018e-09
50,4.649449277775138e-10,9.365251286442408e-09
51,5.231298544864367e-10,9.222118838275321e-09
52,5.8649764035125e-10,9.054500184485869e-09
53,6.553126683970118e-10,8.862641197319516e-09
54,7.298401991883127e-10,8.646802742861685e-09
55,8.103457808882454e-10,8.407255809954721e-09
56,8.97094657987623e-10,8.144276972639506e-09
57,9.903511799239536e-10,7.858144186054155e-09
58,1.090378210744831e-09,7.549132914044946e-09
59,1.197436540909419e-09,7.217512585339288e-09
60,1.31178430226308e-09,6.863543373959367e-09
61,1.433676387164953e-09,6.487473298573989e-09
62,1.563363872695498e-09,6.089535634685254e-09
63,1.701093450821006e-09,5.669946632878688e-09
64,1.847106865344758e-09,5.228903535822193e-09
65,2.001640356429113e-09,4.766582886258563e-09
66,2.164924113430271e-09,4.283139117877466e-09
67,2.337181736746394e-09,3.778703420666155e-09
68,2.518629709341124e-09,3.25338287210938e-09
69,2.709476878567341e-09,2.707259825430552e-09
70,2.909923948880749e-09,2.140391545920777e-09
71,3.120162985999248e-09,1.552810086298811e-09
72,3.340376933031187e-09,9.445223919595152e-10
73,3.570739139064867e-09,3.155106269043086e-10
74,3.811412900681946e-09,-3.342672888920136e-10
75,4.062551016827867e-09,-1.00487693995992e-09
76,4.324295357445381e-09,-1.696406482962235e-09
77,4.596776446250166e-09,-2.408965530778076e-09
78,4.880113058000846e-09,-3.14268386236732e-09
79,5.174411830591311e-09,-3.897709967727014e-09
80,5.479766892268019e-09,-4.674209437256767e-09
81,5.796259504250839e-09,-5.47236320482787e-09
82,6.123957719013563e-09,-6.292365653847571e-09
83,6.462916054455431e-09,-7.134422595586653e-09
84,6.813175184174984e-09,-7.998749129016479e-09
85,7.174761644033421e-09,-8.885567391375711e-09
86,7.547687555174567e-09,-9.795104208663856e-09
87,7.931950363646976e-09,-1.072758865521137e-08
88,8.32753259675256e-09,-1.168324953145147e-08
89,8.734401636226904e-09,-1.266231276896599e-08
90,9.152509508334904e-09,-1.366499877182772e-08
91,9.581792690947085e-09,-1.469151970321215e-08
92,1.002217193764202e-08,-1.574207672618314e-08
93,1.047355211886126e-08,-1.68168572074924e-08
94,1.093582208012534e-08,-1.791603189315158e-08
95,1.140885451729964e-08,-1.903975206446253e-08
96,1.189250586888317e-08,-2.018814668308568e-08
97,1.238661622527379e-08,-2.136131953363619e-08
98,1.289100925494769e-08,-2.255934637219138e-08
99,1.340549214747319e-08,-2.378227208896228e-08
100,1.392985557326338e-08,-2.50301078932759e-08
101,1.446387365995568e-08,-2.630282852886014e-08
102,1.500730398529081e-08,-2.760036952729187e-08
103,1.555988758634911e-08,-2.892262450731027e-08
104,1.612134898498669e-08,-3.026944252753221e-08
105,1.66913962293004e-08,-3.164062549993756e-08
106,1.726972095093658e-08,-3.303592567130475e-08
107,1.785599843804487e-08,-3.445504317959436e-08
108,1.844988772366668e-08,-3.589762369205902e-08
109,1.905103168933418e-08,-3.736325613167308e-08
110,1.965905718364533e-08,-3.885147049823187e-08
111,2.027357515556862e-08,-4.036173579025766e-08
112,2.08941808022194e-08,-4.189345803360211e-08
113,2.152045373084247e-08,-4.344597842239937e-08
114,2.215195813472201e-08,-4.501857157775932e-08
115,2.278824298273481e-08,-4.661044392933821e-08
116,2.342884222225065e-08,-4.822073222465053e-08
117,2.40732749950795e-08,-4.984850217070829e-08
118,2.472104586615382e-08,-5.149274721229661e-08
119,2.537164506463003e-08,-5.315238745089571e-08
120,2.602454873708827e-08,-5.482626870797985e-08
121,2.667921921249864e-08,-5.651316173610006e-08
122,2.733510527862327e-08,-5.821176158087663e-08
123,2.799164246951509e-08,-5.992068709670246e-08
124,2.864825336377114e-08,-6.163848061863929e-08
125,2.93043478931953e-08,-6.336360779268971e-08
126,2.995932366152253e-08,-6.509445756628976e-08
127,3.061256627285344e-08,-6.682934234055061e-08
128,3.126344966944813e-08,-6.856649828545082e-08
129,3.191133647852354e-08,-7.030408581885761e-08
130,3.255557836770365e-08,-7.20401902499198e-08
131,3.31955164087647e-08,-7.377282258705744e-08
132,3.383048144932374e-08,-7.549992051043853e-08
133,3.44597944921164e-08,-7.72193495085023e-08
134,3.508276708151247e-08,-7.892890417777786e-08
135,3.569870169691862e-08,-8.062630968490839e-08
136,3.630689215272092e-08,-8.230922338947438e-08
137,3.690662400442135e-08,-8.397523662589625e-08
138,3.749717496062741e-08,-8.562187664237679e-08
139,3.807781530055429e-08,-8.724660869453084e-08
140,3.864780829670542e-08,-8.884683829105305e-08
141,3.920641064240158e-08,-9.041991358846733e-08
142,3.975287288383206e-08,-9.196312793170591e-08
143,4.028643985630488e-08,-9.347372253697829e-08
144,4.080635112438351e-08,-9.494888931311417e-08
145,4.131184142559575e-08,-9.638577381728142e-08
146,4.180214111741321e-08,-9.77814783407162e-08
147,4.227647662720004e-08,-9.913306511984463e-08
148,4.273407090484018e-08,-1.004375596679248e-07
149,4.317414387775588e-08,-1.016919542220954e-07
150,4.359591290803759e-08,-1.028932113004848e-07
151,4.399859325141444e-08,-1.040382673638173e-07
152,4.438139851779729e-08,-1.051240365757334e-07
153,4.474354113313607e-08,-1.06147414655847e-07
154,4.508423280234036e-08,-1.071052828193695e-07
155,4.540268497301926e-08,-1.079945117969523e-07
156,4.569810929979985e-08,-1.088119659282285e-07
157,4.596971810900025e-08,-1.095545073223855e-07
158,4.621672486342963e-08,-1.10219000078952e-07
159,4.64383446271014e-08,-1.108023145618524e-07
160,4.663379452965453e-08,-1.113013317196651e-07
161,4.680229423027647e-08,-1.117129474449133e-07
162,4.694306638094147e-08,-1.120340769651276e-07
163,4.705533708877198e-08,-1.122616592583332e-07
164,4.713833637734694e-08,-1.123926614855575e-07
165,4.719129864678412e-08,-1.124240834328931e-07
166,4.721346313243093e-08,-1.123529619556131e-07
167,4.720407436200486e-08,-1.121763754168163e-07
168,4.716238261103075e-08,-1.118914481130525e-07
169,4.708764435643036e-08,-1.114953546793971e-07
170,4.697912272812149e-08,-1.109853244664444e-07
171,4.683608795849565e-08,-1.103586458817184e-07
172,4.665781782964448e-08,-1.096126706880541e-07
173,4.644359811821135e-08,-1.087448182515356e-07
174,4.619272303775252e-08,-1.077525797316645e-07
175,4.590449567849377e-08,-1.066335222065001e-07
176,4.557822844437476e-08,-1.053852927256129e-07
177,4.521324348727739e-08,-1.040056222837933e-07
178,4.480887313834056e-08,-1.024923297085863e-07
179,4.436446033626364e-08,-1.008433254548416e-07
180,4.387935905250753e-08,-9.905661529962445e-08
181,4.335293471330661e-08,-9.713030393097294e-08
182,4.278456461840299e-08,-9.506259842417007e-08
183,4.217363835642244e-08,-9.285181159936381e-08
184,4.151955821681155e-08,-9.049636525456255e-08
185,4.082173959825556e-08,-8.799479326823456e-08
186,4.007961141350448e-08,-8.534574456594158e-08
187,3.929261649052713e-08,-8.254798594566851e-08
188,3.846021196992288e-08,-7.960040475672169e-08
189,3.758186969851781e-08,-7.65020114273262e-08
