"Time","ph"
0,0
1,1.903272949865958e-07
2,4.373876771892503e-07
3,7.124487504195686e-07
4,9.967394889439841e-07
5,1.278467495307101e-06
6,1.550666526654243e-06
7,1.809655183839515e-06
8,2.053942256700559e-06
9,2.283456289558506e-06
10,2.499008939896108e-06
11,2.701925802976814e-06
12,2.893796359906407e-06
13,3.076308025232267e-06
14,3.251139066471276e-06
15,3.419892329409396e-06
16,3.584056908760437e-06
17,3.744988667745447e-06
18,3.903903217668623e-06
19,4.06187690620806e-06
20,4.219852742605079e-06
21,4.378649164645909e-06
22,4.538970239770811e-06
23,4.70141637327095e-06
24,4.866494929972352e-06
25,5.034630404995103e-06
26,5.206173934901938e-06
27,5.381412044798273e-06
28,5.560574595351254e-06
29,5.743841937330909e-06
30,5.931351307948949e-06
31,6.12320251845795e-06
32,6.319462989998342e-06
33,6.520172197195235e-06
34,6.725345578336992e-06
35,6.934977968359687e-06
36,7.149046607156536e-06
37,7.367513771488929e-06
38,7.590329074360154e-06
39,7.817431471355177e-06
40,8.04875100928996e-06
41,8.284210348630553e-06
42,8.52372608757366e-06
43,8.767209912438454e-06
44,9.01456959609934e-06
45,9.265709863576102e-06
46,9.520533141570995e-06
47,9.778940206678661e-06
48,1.004083074517011e-05
49,1.03061038356429e-05
50,1.057465836441341e-05
51,1.084639338228283e-05
52,1.112120841021658e-05
53,1.13990037005202e-05
54,1.167968045925692e-05
55,1.196314103491957e-05
56,1.224928907772843e-05
57,1.253802967336776e-05
58,1.282926945448447e-05
59,1.312291669284672e-05
60,1.341888137468753e-05
61,1.371707526143509e-05
62,1.401741193774797e-05
63,1.431980684852744e-05
64,1.462417732636439e-05
65,1.493044261069122e-05
66,1.523852385974632e-05
67,1.554834415631661e-05
68,1.585982850810053e-05
69,1.617290384342558e-05
70,1.648749900296142e-05
71,1.680354472798744e-05
72,1.712097364570287e-05
73,1.743972025200535e-05
74,1.775972089210991e-05
75,1.808091373933349e-05
76,1.840323877232851e-05
77,1.872663775101394e-05
78,1.905105419142035e-05
79,1.937643333963872e-05
80,1.970272214503872e-05
81,2.002986923290118e-05
82,2.035782487659178e-05
83,2.068654096938649e-05
84,2.101597099604575e-05
85,2.134607000422203e-05
86,2.167679457577472e-05
87,2.200810279805682e-05
88,2.233995423522989e-05
89,2.267230989965622e-05
90,2.30051322234109e-05
91,2.333838502995098e-05
92,2.367203350597375e-05
93,2.400604417349204e-05
94,2.434038486215034e-05
95,2.467502468180249e-05
96,2.500993399536828e-05
97,2.534508439198407e-05
98,2.568044866045978e-05
99,2.601600076305292e-05
100,2.63517158095681e-05
101,2.668757003178912e-05
102,2.702354075824931e-05
103,2.735960638934404e-05
104,2.769574637278881e-05
105,2.803194117942509e-05
106,2.836817227937471e-05
107,2.870442211854373e-05
108,2.904067409547508e-05
109,2.937691253854939e-05
110,2.971312268353222e-05
111,3.004929065146603e-05
112,3.038540342690438e-05
113,3.072144883648552e-05
114,3.105741552784247e-05
115,3.139329294884602e-05
116,3.172907132717727e-05
117,3.206474165022546e-05
118,3.240029564530761e-05
119,3.273572576020521e-05
120,3.307102514401419e-05
121,3.340618762830316e-05
122,3.374120770857604e-05
123,3.407608052603382e-05
124,3.441080184963146e-05
125,3.474536805842468e-05
126,3.507977612420227e-05
127,3.541402359439918e-05
128,3.57481085752854e-05
129,3.60820297154263e-05
130,3.641578618940935e-05
131,3.674937768183282e-05
132,3.708280437155177e-05
133,3.741606691617649e-05
134,3.77491664368192e-05
135,3.808210450308416e-05
136,3.841488311829711e-05
137,3.874750470496916e-05
138,3.907997209049127e-05
139,3.941228849305472e-05
140,3.974445750779366e-05
141,4.007648309314524e-05
142,4.04083695574238e-05
143,4.074012154560437e-05
144,4.107174402631262e-05
145,4.140324227901628e-05
146,4.173462188141541e-05
147,4.206588869702674e-05
148,4.23970488629596e-05
149,4.272810877787906e-05
150,4.305907509015323e-05
151,4.338995468618151e-05
152,4.372075467890015e-05
153,4.405148239646217e-05
154,4.438214537108864e-05
155,4.471275132808795e-05
156,4.504330817504038e-05
157,4.537382399114505e-05
158,4.570430701672641e-05
159,4.603476564289752e-05
160,4.636520840137746e-05
161,4.669564395446047e-05
162,4.702608108513391e-05
163,4.735652868734324e-05
164,4.768699575640083e-05
165,4.801749137953692e-05
166,4.834802472659052e-05
167,4.867860504083745e-05
168,4.900924162995395e-05
169,4.933994385711386e-05
170,4.967072113221697e-05
171,5.000158290324693e-05
172,5.033253864775659e-05
173,5.06635978644794e-05
174,5.09947700650645e-05
175,5.132606476593429e-05
176,5.165749148026252e-05
177,5.19890597100715e-05
178,5.232077893844657e-05
179,5.265265862186682e-05
180,5.29847081826499e-05
181,5.33169370015102e-05
182,5.364935441022844e-05
183,5.398196968443169e-05
184,5.431479203648238e-05
185,5.464783060847496e-05
186,5.498109446533925e-05
187,5.531459258804893e-05
188,5.564833386693411e-05
189,5.598232709509728e-05
190,5.631658096193078e-05
191,5.665110404673541e-05
192,5.698590481243874e-05
193,5.732099159941223e-05
194,5.765637261938616e-05
195,5.799205594946171e-05
196,5.832804952621843e-05
197,5.866436113991739e-05
198,5.900099842879791e-05
199,5.933796887346791e-05
200,5.967527979138659e-05
201,6.001293833143861e-05
202,6.035095146859935e-05
203,6.068932599868963e-05
204,6.102806853322029e-05
205,6.13671854943247e-05
206,6.17066831097793e-05
207,6.20465674081109e-05
208,6.238684421379025e-05
209,6.272751914251135e-05
210,6.30685975965553e-05
211,6.341008476023838e-05
212,6.375198559544382e-05
213,6.40943048372358e-05
214,6.443704698955631e-05
215,6.47802163210028e-05
216,6.512381686068698e-05
217,6.546785239417371e-05
218,6.581232645949949e-05
219,6.615724234326964e-05
220,6.650260307683385e-05
221,6.684841143253953e-05
222,6.719466992006181e-05
223,6.75413807828102e-05
224,6.788854599441092e-05
225,6.823616725526446e-05
226,6.858424598917757e-05
227,6.893278334006921e-05
228,6.928178016874988e-05
229,6.963123704977363e-05
230,6.998115426836214e-05
231,7.033153181740026e-05
232,7.068236939450253e-05
233,7.103366639914985e-05
234,7.138542192989599e-05
235,7.173763478164281e-05
236,7.209030344298439e-05
237,7.244342609361849e-05
238,7.279700060182565e-05
239,7.315102452201446e-05
240,7.350549509233317e-05
241,7.386040923234644e-05
242,7.421576354077698e-05
243,7.457155429331109e-05
244,7.49277774404679e-05
245,7.528442860553134e-05
246,7.564150308254434e-05
247,7.599899583436487e-05
248,7.635690149078253e-05
249,7.6715214346696e-05
250,7.70739283603496e-05
251,7.743303715162961e-05
252,7.779253400041842e-05
253,7.815241184500688e-05
254,7.851266328056361e-05
255,7.887328055766089e-05
256,7.923425558085637e-05
257,7.95955799073303e-05
258,7.995724474557691e-05
259,8.031924095415001e-05
260,8.068155904046198e-05
261,8.104418915963502e-05
262,8.140712111340501e-05
263,8.177034434907616e-05
264,8.213384795852686e-05
265,8.249762067726529e-05
266,8.286165088353448e-05
267,8.322592659746655e-05
268,8.359043548028457e-05
269,8.395516483355244e-05
270,8.432010159847118e-05
271,8.468523235522189e-05
272,8.50505433223541e-05
273,8.541602035621905e-05
274,8.578164895044759e-05
275,8.614741423547145e-05
276,8.651330097808775e-05
277,8.687929358106651e-05
278,8.724537608279895e-05
279,8.761153215698799e-05
280,8.797774511237907e-05
281,8.834399789253098e-05
282,8.871027307562629e-05
283,8.907655287432034e-05
284,8.944281913562898e-05
285,8.980905334085355e-05
286,9.017523660554318e-05
287,9.054134967949377e-05
288,9.090737294678267e-05
289,9.127328642583894e-05
290,9.163906976954868e-05
291,9.200470226539434e-05
292,9.237016283562798e-05
293,9.273543003747809e-05
294,9.31004820633887e-05
295,9.346529674129125e-05
296,9.38298515349077e-05
297,9.419412354408547e-05
298,9.455808950516262e-05
299,9.49217257913638e-05
300,9.528500841322584e-05
301,9.564791301905276e-05
302,9.60104148953998e-05
303,9.637248896758592e-05
304,9.673410980023448e-05
305,9.709525159784156e-05
306,9.745588820537178e-05
307,9.781599310888065e-05
308,9.817553943616402e-05
309,9.853449995743314e-05
310,9.889284708601601e-05
311,9.925055287908411e-05
312,9.960758903840406e-05
313,9.996392691111457e-05
314,0.0001003195374905275
315,0.0001006743914169536
316,0.0001010284589785521
317,0.0001013817101122041
318,0.000101734114404409
319,0.0001020856410922053
320,0.0001024362590641128
321,0.0001027859368610997
322,0.0001031346426775705
323,0.000103482344362377
324,0.0001038290094198526
325,0.0001041746050108672
326,0.0001045190979539047
327,0.0001048624547261636
328,0.0001052046414646771
329,0.0001055456239674571
330,0.0001058853676946587
331,0.0001062238377697663
332,0.0001065609989808019
333,0.000106896815781554
334,0.000107231252292829
335,0.0001075642723037232
336,0.0001078958392729168
337,0.0001082259163299891
338,0.000108554466276756
339,0.0001088814515886282
340,0.0001092068344159913
341,0.0001095305765856084
342,0.0001098526396020438
343,0.0001101729846491089
344,0.0001104915725913307
345,0.0001108083639754415
346,0.0001111233190318923
347,0.000111436397676388
348,0.0001117475595114455
349,0.0001120567638279748
350,0.0001123639696068837
351,0.0001126691355207048
352,0.000112972219935248
353,0.0001132731809112748
354,0.0001135719762061982
355,0.0001138685632758066
356,0.0001141628992760124
357,0.0001144549410646256
358,0.0001147446452031526
359,0.0001150319679586211
360,0.0001153168653054309
361,0.0001155992929272301
362,0.0001158792062188197
363,0.0001161565602880836
364,0.0001164313099579471
365,0.0001167034097683627
366,0.0001169728139783244
367,0.0001172394765679104
368,0.0001175033512403549
369,0.0001177643914241497
370,0.000118022550275175
371,0.0001182777806788612
372,0.000118530035252381
373,0.0001187792663468732
374,0.0001190254260496976
375,0.0001192684661867229
376,0.0001195083383246459
377,0.0001197449937733458
378,0.0001199783835882698
379,0.0001202084585728547
380,0.0001204351692809824
381,0.0001206584660194697
382,0.0001208782988505953
383,0.0001210946175946614
384,0.0001213073718325932
385,0.000121516510908574
386,0.0001217219839327198
387,0.0001219237397837903
388,0.0001221217271119398
389,0.0001223158943415067
390,0.0001225061896738429
391,0.0001226925610901836
392,0.0001228749563545573
393,0.0001230533230167377
394,0.0001232276084152372
395,0.0001233977596803424
396,0.0001235637237371932
397,0.0001237254473089039
398,0.0001238828769197299
399,0.0001240359588982771
400,0.0001241846393807572
401,0.0001243288643142879
402,0.0001244685794602392
403,0.0001246037303976255
404,0.0001247342625265457
405,0.0001248601210716685
406,0.000124981251085768
407,0.0001250975974533055
408,0.0001252091048940608
409,0.0001253157179668124
410,0.0001254173810730678
411,0.0001255140384608427
412,0.0001256056342284913
413,0.0001256921123285879
414,0.0001257734165718583
415,0.000125849490631164
416,0.0001259202780455379
417,0.0001259857222242722
418,0.0001260457664510595
419,0.0001261003538881861
420,0.0001261494275807796
421,0.0001261929304611092
422,0.000126230805352941
423,0.0001262629949759465
424,0.0001262894419501666
425,0.0001263100888005298
426,0.0001263248779614254
427,0.0001263337517813326
428,0.0001263366525275042
429,0.0001263335223907066
430,0.0001263243034900156
431,0.0001263089378776681
432,0.0001262873675439699
433,0.0001262595344222601
434,0.0001262253803939314
435,0.0001261848472935075
436,0.0001261378769137768
437,0.0001260844110109831
438,0.000126024391310072
439,0.0001259577595099953
440,0.0001258844572890714
441,0.0001258044263104022
442,0.0001257176082273477
443,0.0001256239446890556
444,0.0001255233773460492
445,0.0001254158478558701
446,0.0001253012978887784
447,0.0001251796691335086
448,0.0001250509033030815
449,0.0001249149421406717
450,0.0001247717274255317
451,0.0001246212009789699
452,0.0001244633046703851
453,0.0001242979804233556
454,0.0001241251702217817
455,0.0001239448161160844
456,0.0001237568602294569
457,0.0001235612447641698
458,0.0001233579120079299
459,0.0001231468043402912
460,0.0001229278642391193
461,0.0001227010342871068
462,0.0001224662571783409
463,0.0001222234757249215
464,0.00012197263286363
465,0.0001217136716626485
466,0.0001214465353283278
467,0.0001211711672120044
468,0.0001208875108168662
469,0.0001205955098048656
470,0.0001202951080036788
471,0.000119986249413713
472,0.0001196688782151579
473,0.0001193429387750828
474,0.0001190083756545778
475,0.0001186651336159384
476,0.0001183131576298928
477,0.000117952392882871
478,0.0001175827847843156
479,0.0001172042789740319
480,0.0001168168213295783
481,0.0001164203579736947
482,0.0001160148352817683
483,0.0001156001998893376
484,0.00011517639869963
485,0.0001147433788911361
486,0.0001143010879252167
487,0.0001138494735537436
488,0.0001133884838267718
489,0.000112918067100242
490,0.0001124381720437142
491,0.0001119487476481288
492,0.0001114497432335966
493,0.0001109411084572137
494,0.0001104227933209038
495,0.0001098947481792832
496,0.0001093569237475499
497,0.0001088092711093944
498,0.0001082517417249314
499,0.0001076842874386511
500,0.000107106860487389
501,0.0001065194135083129
502,0.0001059218995469255
503,0.0001053142720650829
504,0.0001046964849490249
505,0.000104068492517419
506,0.000103430249529414
507,0.0001027817111927047
508,0.0001021228331716033
509,0.000101453571595119
510,0.0001007738830650422
511,0.0001000837246640346
512,9.938305396372015e-05
513,9.867182903277936e-05
514,9.795000844504262e-05
515,9.721755128758329e-05
516,9.647441716880751e-05
517,9.572056622654047e-05
518,9.495595913610717e-05
519,9.418055711840632e-05
520,9.339432194797665e-05
521,9.259721596105271e-05
522,9.178920206361038e-05
523,9.097024373939967e-05
524,9.014030505796363e-05
525,8.929935068264194e-05
526,8.8447345878558e-05
527,8.75842565205872e-05
528,8.671004910130634e-05
529,8.582469073892126e-05
530,8.492814918517234e-05
531,8.402039283321599e-05
532,8.310139072548037e-05
533,8.21711125614945e-05
534,8.122952870568906e-05
535,8.027661019516725e-05
536,7.931232874744435e-05
537,7.833665676815472e-05
538,7.734956735872481e-05
539,7.635103432401028e-05
540,7.5341032179896e-05
541,7.43195361608584e-05
542,7.328652222748699e-05
543,7.224196707396526e-05
544,7.118584813550839e-05
545,7.011814359575715e-05
546,6.903883239412619e-05
547,6.794789423310542e-05
548,6.68453095855127e-05
549,6.573105970169751e-05
550,6.460512661669289e-05
551,6.346749315731505e-05
552,6.231814294920944e-05
553,6.11570604238413e-05
554,5.998423082542989e-05
555,5.879964021782444e-05
556,5.760327549132158e-05
557,5.639512436942169e-05
558,5.517517541552374e-05
559,5.394341803955684e-05
560,5.269984250454746e-05
561,5.144443993312123e-05
562,5.0177202313937e-05
563,4.889812250805421e-05
564,4.760719425522934e-05
565,4.630441218014248e-05
566,4.49897717985522e-05
567,4.366326952337717e-05
568,4.232490267070337e-05
569,4.097466946571642e-05
570,3.961256904855714e-05
571,3.823860148009954e-05
572,3.68527677476502e-05
573,3.545506977056712e-05
574,3.404551040579859e-05
575,3.262409345333943e-05
576,3.119082366160437e-05
577,2.974570673271707e-05
578,2.828874932771435e-05
579,2.681995907166407e-05
580,2.533934455869591e-05
581,2.384691535694405e-05
582,2.234268201340065e-05
583,2.082665605867969e-05
584,1.929885001168964e-05
585,1.775927738421418e-05
586,1.62079526854004e-05
587,1.464489142615362e-05
588,1.307011012343725e-05
589,1.148362630447796e-05
590,9.885458510874301e-06
591,8.275626302609033e-06
592,6.654150261963201e-06
593,5.021051997332401e-06
594,3.37635414694322e-06
595,1.720080382470782e-06
596,5.225541255470576e-08
597,-1.627095013785331e-06
598,-3.317944103836163e-06
599,-5.020264017980815e-06
600,-6.734025866590326e-06
601,-8.459199707019971e-06
602,-1.019575454071003e-05
603,-1.194365831039062e-05
604,-1.370287789739315e-05
605,-1.54733791190666e-05
606,-1.725512672630147e-05
607,-1.904808440115957e-05
608,-2.085221475461216e-05
609,-2.26674793243858e-05
610,-2.449383857291631e-05
611,-2.633125188541184e-05
612,-2.817967756802494e-05
613,-3.003907284613426e-05
614,-3.190939386273626e-05
615,-3.379059567694709e-05
616,-3.56826322626151e-05
617,-3.758545650704426e-05
618,-3.949902020982893e-05
619,-4.142327408179991e-05
620,-4.335816774408244e-05
621,-4.530364972726575e-05
622,-4.725966747068545e-05
623,-4.922616732181772e-05
624,-5.120309453578642e-05
625,-5.319039327498288e-05
626,-5.51880066087986e-05
627,-5.719587651347109e-05
628,-5.921394387204238e-05
629,-6.12421484744317e-05
630,-6.328042901762053e-05
631,-6.532872310595177e-05
632,-6.738696725154194e-05
633,-6.945509687480759e-05
634,-7.153304630510406e-05
635,-7.362074878147894e-05
636,-7.571813645353839e-05
637,-7.782514038242764e-05
638,-7.994169054192407e-05
639,-8.20677158196441e-05
640,-8.420314401836412e-05
641,-8.634790185745363e-05
642,-8.850191497442195e-05
643,-9.066510792657875e-05
644,-9.283740419280643e-05
645,-9.501872617544573e-05
646,-9.720899520229471e-05
647,-9.94081315287187e-05
648,-0.0001016160543398749
649,-0.0001038326817530462
650,-0.0001060579308200897
651,-0.0001082917175299958
652,-0.0001105339568115583
653,-0.0001127845625361567
654,-0.0001150434475206493
655,-0.0001173105235303768
656,-0.0001195857012822769
657,-0.0001218688904481085
658,-0.0001241599996577867
659,-0.0001264589365028269
660,-0.0001287656075398982
661,-0.000131079918294486
662,-0.0001334017732646636
663,-0.0001357310759249714
664,-0.0001380677287304049
665,-0.0001404116331205098
666,-0.0001427626895235847
667,-0.0001451207973609906
668,-0.0001474858550515666
669,-0.0001498577600161525
670,-0.0001522364086822158
671,-0.0001546216964885861
672,-0.000157013517890292
673,-0.0001594117663635037
674,-0.0001618163344105799
675,-0.0001642271135652176
676,-0.0001666439943977049
677,-0.0001690668665202779
678,-0.000171495618592577
679,-0.0001739301383272084
680,-0.0001763703124954037
681,-0.0001788160269327822
682,-0.000181267166545213
683,-0.0001837236153147763
684,-0.0001861852563058246
685,-0.0001886519716711422
686,-0.0001911236426582034
687,-0.0001936001496155278
688,-0.0001960813719991333
689,-0.0001985671883790852
690,-0.0002010574764461417
691,-0.0002035521130184948
692,-0.0002060509740486064
693,-0.0002085539346301383
694,-0.0002110608690049764
695,-0.0002135716505703488
696,-0.0002160861518860346
697,-0.0002186042446816671
698,-0.0002211257998641272
699,-0.0002236506875250284
700,-0.0002261787769482907
701,-0.0002287099366178063
702,-0.0002312440342251933
703,-0.0002337809366776377
704,-0.0002363205101058231
705,-0.0002388626198719495
706,-0.0002414071305778357
707,-0.000243953906073111
708,-0.0002465028094634893
709,-0.00024905370311913
710,-0.0002516064486830819
711,-0.0002541609070798106
712,-0.0002567169385238099
713,-0.0002592744025282931
714,-0.0002618331579139676
715,-0.0002643930628178894
716,-0.0002669539747023981
717,-0.000269515750364131
718,-0.000272078245943116
719,-0.0002746413169319424
720,-0.0002772048181850097
721,-0.0002797686039278526
722,-0.0002823325277665409
723,-0.0002848964426971575
724,-0.0002874602011153474
725,-0.0002900236548259427
726,-0.0002925866550526607
727,-0.0002951490524478732
728,-0.0002977106971024484
729,-0.0003002714385556634
730,-0.0003028311258051868
731,-0.0003053896073171303
732,-0.0003079467310361698
733,-0.0003105023443957343
734,-0.0003130562943282604
735,-0.0003156084272755153
736,-0.0003181585891989841
737,-0.0003207066255903229
738,-0.000323252381481874
739,-0.0003257957014572469
740,-0.0003283364296619594
741,-0.000330874409814143
742,-0.0003334094852153051
743,-0.0003359414987611564
744,-0.0003384702929524927
745,-0.0003409957099061389
746,-0.0003435175913659477
747,-0.0003460357787138569
748,-0.0003485501129810016
749,-0.0003510604348588821
750,-0.0003535665847105862
751,-0.0003560684025820632
752,-0.0003585657282134528
753,-0.0003610584010504636
754,-0.0003635462602558041
755,-0.000366029144720662
756,-0.000368506893076233
757,-0.0003709793437052989
758,-0.0003734463347538511
759,-0.0003759077041427617
760,-0.0003783632895794989
761,-0.0003808129285698884
762,-0.0003832564584299172
763,-0.0003856937162975801
764,-0.0003881245391447684
765,-0.0003905487637891989
766,-0.0003929662269063837
767,-0.0003953767650416374
768,-0.0003977802146221231
769,-0.0004001764119689357
770,-0.0004025651933092204
771,-0.0004049463947883266
772,-0.0004073198524819959
773,-0.0004096854024085831
774,-0.0004120428805413087
775,-0.0004143921228205439
776,-0.0004167329651661237
777,-0.000419065243489691
778,-0.0004213887937070668
779,-0.0004237034517506492
780,-0.0004260090535818371
781,-0.0004283054352034796
782,-0.0004305924326723487
783,-0.0004328698821116349
784,-0.0004351376197234656
785,-0.0004373954818014426
786,-0.0004396433047432005
787,-0.0004418809250629833
788,-0.0004441081794042386
789,-0.0004463249045522283
790,-0.000448530937446654
791,-0.0004507261151942978
792,-0.0004529102750816756
793,-0.0004550832545877027
794,-0.0004572448913963697
795,-0.000459395023409429
796,-0.0004615334887590905
797,-0.0004636601258207233
798,-0.0004657747732255653
799,-0.0004678772698734383
800,-0.0004699674549454655
801,-0.0004720451679167942
802,-0.0004741102485693194
803,-0.0004761625370044082
804,-0.0004782018736556248
805,-0.0004802280993014524
806,-0.0004822410550780131
807,-0.0004842405824917853
808,-0.0004862265234323142
809,-0.0004881987201849169
810,-0.0004901570154433806
811,-0.0004921012523226517
