"Time","vhx","vhy"
0,0,0
1,-2.666353347483309e-14,1.529018763205132e-10
2,-9.63634986705722e-15,1.819034677493547e-10
3,1.768490895859797e-13,-8.737891728138026e-10
4,6.148514292522256e-13,-4.324019076843955e-09
5,1.292798266820873e-12,-1.164177109954824e-08
6,2.069037786776665e-12,-2.433869095520996e-08
7,2.646942266426236e-12,-4.388408364718028e-08
8,2.559552657987621e-12,-7.165449893349341e-08
9,1.161863795387942e-12,-1.089046357098785e-07
10,-2.370942353267252e-12,-1.567529081588293e-07
11,-9.040763701273344e-12,-2.161769043392777e-07
12,-2.002054817945466e-11,-2.880153361543899e-07
13,-3.664594206302193e-11,-3.72974072400778e-07
14,-6.040539027986122e-11,-4.716345666638358e-07
15,-9.292929053889783e-11,-5.844635130909859e-07
16,-1.359786599026263e-10,-7.118229390590826e-07
17,-1.914336555684213e-10,-8.539802134291669e-07
18,-2.612821979382926e-10,-1.011117640977742e-06
19,-3.476088701575109e-10,-1.183341448665532e-06
20,-4.525842109238676e-10,-1.370690063086614e-06
21,-5.784544735405518e-10,-1.573141642114321e-06
22,-7.275318913026891e-10,-1.790620865818165e-06
23,-9.021854651472882e-10,-2.023005018349541e-06
24,-1.104832272197928e-09,-2.270129408223532e-06
25,-1.337929281866496e-09,-2.531792182582322e-06
26,-1.603965658288914e-09,-2.807758594029685e-06
27,-1.905455523069504e-09,-3.097764778222485e-06
28,-2.244931149794534e-09,-3.40152109784357e-06
29,-2.624936560924106e-09,-3.718715104744472e-06
30,-3.048021497996965e-09,-4.049014167550715e-06
31,-3.516735737210335e-09,-4.392067807285728e-06
32,-4.03362372408242e-09,-4.747509778868488e-06
33,-4.601219502855611e-09,-5.114959931849947e-06
34,-5.222041918396578e-09,-5.494025879577566e-06
35,-5.898590070482113e-09,-5.88430450216898e-06
36,-6.633339002447371e-09,-6.285383305254275e-06
37,-7.428735608162665e-09,-6.696841653408131e-06
38,-8.287194743161614e-09,-7.118251894520782e-06
39,-9.211095527448645e-09,-7.549180389024317e-06
40,-1.020277782905777e-08,-7.989188455868215e-06
41,-1.126453891881743e-08,-8.437833245393533e-06
42,-1.239863028800091e-08,-8.894668547757195e-06
43,-1.360725462161723e-08,-9.359245544276802e-06
44,-1.489256292103351e-08,-9.831113507974288e-06
45,-1.625665177042698e-08,-1.030982045866834e-05
46,-1.770156074225632e-08,-1.079491377717822e-05
47,-1.922926993752923e-08,-1.128594078253504e-05
48,-2.08416976571365e-08,-1.178244927553361e-05
49,-2.25406982009354e-08,-1.228398805148254e-05
50,-2.432805979160545e-08,-1.279010738460955e-05
51,-2.620550262057802e-08,-1.330035948624151e-05
52,-2.817467701356485e-08,-1.381429893859419e-05
53,-3.023716171339008e-08,-1.433148310576735e-05
54,-3.239446227796809e-08,-1.485147252333924e-05
55,-3.464800959137744e-08,-1.537383126778443e-05
56,-3.699915848605731e-08,-1.589812730679579e-05
57,-3.944918647421089e-08,-1.642393283147029e-05
58,-4.199929258653442e-08,-1.695082457121603e-05
59,-4.46505963164133e-08,-1.747838409215128e-05
60,-4.740413666773458e-08,-1.800619807969266e-05
61,-5.026087130446585e-08,-1.853385860596698e-05
62,-5.322167580013937e-08,-1.906096338262781e-05
63,-5.628734298536968e-08,-1.958711599961196e-05
64,-5.945858239151266e-08,-2.011192615033179e-05
65,-6.273601978855344e-08,-2.063500984376509e-05
66,-6.61201968152895e-08,-2.11559896038749e-05
67,-6.961157069985072e-08,-2.167449465676575e-05
68,-7.321051406857525e-08,-2.219016110596052e-05
69,-7.691731484123818e-08,-2.270263209616196e-05
70,-8.073217621060776e-08,-2.321155796584551e-05
71,-8.465521670428324e-08,-2.371659638901441e-05
72,-8.868647032675148e-08,-2.421741250643391e-05
73,-9.282588677958125e-08,-2.471367904664883e-05
74,-9.707333175765974e-08,-2.520507643707736e-05
75,-1.014285873193646e-07,-2.569129290546342e-05
76,-1.05891352328553e-07,-2.617202457196032e-05
77,-1.104612429662411e-07,-2.66469755321099e-05
78,-1.151377933098437e-07,-2.711585793097307e-05
79,-1.199204559778363e-07,-2.757839202866001e-05
80,-1.24808602837703e-07,-2.803430625750172e-05
81,-1.298015257750353e-07,-2.848333727109741e-05
82,-1.348984375216429e-07,-2.892522998546698e-05
83,-1.400984725405518e-07,-2.935973761253085e-05
84,-1.454006879657629e-07,-2.978662168613534e-05
85,-1.508040645946546e-07,-3.020565208083546e-05
86,-1.563075079309279e-07,-3.061660702364288e-05
87,-1.619098492759953e-07,-3.101927309894176e-05
88,-1.676098468667349e-07,-3.141344524677102e-05
89,-1.73406187057541e-07,-3.179892675466734e-05
90,-1.792974855446236e-07,-3.217552924325889e-05
91,-1.852822886305181e-07,-3.254307264579669e-05
92,-1.913590745267949e-07,-3.290138518180591e-05
93,-1.975262546929711e-07,-3.325030332503678e-05
94,-2.037821752096497e-07,-3.358967176589084e-05
95,-2.101251181839336e-07,-3.391934336849522e-05
96,-2.165533031851865e-07,-3.423917912259469e-05
97,-2.230648887092318e-07,-3.4549048090428e-05
98,-2.296579736691101e-07,-3.48488273487522e-05
99,-2.363305989105413e-07,-3.513840192617614e-05
100,-2.430807487502575e-07,-3.541766473596108e-05
101,-2.499063525354107e-07,-3.56865165044445e-05
102,-2.568052862222777e-07,-3.594486569523994e-05
103,-2.637753739725174e-07,-3.619262842936396e-05
104,-2.708143897652664e-07,-3.642972840143833e-05
105,-2.779200590233843e-07,-3.665609679211382e-05
106,-2.850900602521925e-07,-3.687167217685925e-05
107,-2.923220266890869e-07,-3.707640043125778e-05
108,-2.996135479624247e-07,-3.727023463294976e-05
109,-3.069621717581264e-07,-3.745313496035999e-05
110,-3.143654054924648e-07,-3.76250685883447e-05
111,-3.218207179895453e-07,-3.778600958089186e-05
112,-3.293255411620094e-07,-3.793593878100672e-05
113,-3.368772716935401e-07,-3.807484369791188e-05
114,-3.444732727217634e-07,-3.820271839169022e-05
115,-3.521108755201954e-07,-3.831956335549649e-05
116,-3.597873811778951e-07,-3.842538539546206e-05
117,-3.675000622755429e-07,-3.852019750841512e-05
118,-3.752461645566789e-07,-3.860401875753739e-05
119,-3.830229085928773e-07,-3.86768741460762e-05
120,-3.908274914416815e-07,-3.873879448922934e-05
121,-3.98657088296128e-07,-3.878981628431865e-05
122,-4.06508854124766e-07,-3.882998157936604e-05
123,-4.143799253010723e-07,-3.885933784018449e-05
124,-4.222674212212262e-07,-3.887793781609506e-05
125,-4.301684459092373e-07,-3.888583940437867e-05
126,-4.380800896084462e-07,-3.888310551357056e-05
127,-4.459994303584672e-07,-3.886980392570336e-05
128,-4.539235355566648e-07,-3.884600715760297e-05
129,-4.618494635033088e-07,-3.881179232134053e-05
130,-4.697742649295676e-07,-3.876724098394125e-05
131,-4.776949845075541e-07,-3.871243902645034e-05
132,-4.856086623416606e-07,-3.864747650245383e-05
133,-4.935123354404665e-07,-3.857244749615111e-05
134,-5.014030391685235e-07,-3.848744998007435e-05
135,-5.09277808677377e-07,-3.83925856725482e-05
136,-5.171336803151974e-07,-3.828795989498197e-05
137,-5.249676930144464e-07,-3.817368142908467e-05
138,-5.327768896570324e-07,-3.804986237409208e-05
139,-5.405583184164348e-07,-3.79166180040931e-05
140,-5.48309034076332e-07,-3.777406662554148e-05
141,-5.560260993252766e-07,-3.762232943503733e-05
142,-5.637065860270166e-07,-3.746153037746121e-05
143,-5.71347576466086e-07,-3.729179600454236e-05
144,-5.789461645683144e-07,-3.711325533394085e-05
145,-5.864994570959527e-07,-3.692603970892184e-05
146,-5.940045748171326e-07,-3.673028265869916e-05
147,-6.014586536494166e-07,-3.652611975952321e-05
148,-6.088588457772185e-07,-3.631368849658694e-05
149,-6.16202320742922e-07,-3.609312812682262e-05
150,-6.23486266511529e-07,-3.586457954265953e-05
151,-6.30707890508731e-07,-3.562818513681238e-05
152,-6.378644206323042e-07,-3.538408866816792e-05
153,-6.449531062367633e-07,-3.513243512883575e-05
154,-6.519712190912426e-07,-3.487337061242857e-05
155,-6.589160543106017e-07,-3.460704218363433e-05
156,-6.657849312597723e-07,-3.433359774914265e-05
157,-6.725751944313974e-07,-3.405318592998487e-05
158,-6.792842142968411e-07,-3.376595593534716e-05
159,-6.859093881306686e-07,-3.347205743791284e-05
160,-6.924481408087254e-07,-3.317164045079041e-05
161,-6.988979255799661e-07,-3.286485520608059e-05
162,-7.052562248122153e-07,-3.255185203513525e-05
163,-7.115205507120536e-07,-3.223278125055923e-05
164,-7.176884460190563e-07,-3.190779303000427e-05
165,-7.237574846746333e-07,-3.157703730180331e-05
166,-7.297252724657317e-07,-3.124066363249154e-05
167,-7.355894476436964e-07,-3.089882111625885e-05
168,-7.413476815185905e-07,-3.055165826637743e-05
169,-7.469976790293137e-07,-3.019932290864637e-05
170,-7.525371792898571e-07,-2.984196207689332e-05
171,-7.579639561120649e-07,-2.947972191057252e-05
172,-7.632758185052886e-07,-2.911274755449627e-05
173,-7.684706111533303e-07,-2.874118306073593e-05
174,-7.735462148690889e-07,-2.836517129272635e-05
175,-7.785005470273525e-07,-2.798485383160733e-05
176,-7.83331561976172e-07,-2.760037088483273e-05
177,-7.88037251427279e-07,-2.721186119707749e-05
178,-7.926156448260268e-07,-2.681946196347086e-05
179,-7.970648097013305e-07,-2.642330874518285e-05
180,-8.013828519961182e-07,-2.602353538738886e-05
181,-8.055679163787846e-07,-2.562027393963695e-05
182,-8.096181865361809e-07,-2.521365457863993e-05
183,-8.135318854486602e-07,-2.480380553351329e-05
184,-8.173072756477164e-07,-2.439085301347841e-05
185,-8.209426594567606e-07,-2.397492113804914e-05
186,-8.244363792155969e-07,-2.35561318697186e-05
187,-8.277868174891339e-07,-2.313460494916094e-05
188,-8.309923972609189e-07,-2.271045783296192e-05
189,-8.340515821120516e-07,-2.228380563389086e-05
190,-8.369628763860435e-07,-2.185476106372431e-05
191,-8.397248253402195e-07,-2.142343437863141e-05
192,-8.423360152842221e-07,-2.09899333271282e-05
193,-8.447950737062032e-07,-2.055436310060864e-05
194,-8.471006693872925e-07,-2.011682628645611e-05
195,-8.492515125049222e-07,-1.967742282374046e-05
196,-8.512463547255793e-07,-1.923624996150224e-05
197,-8.530839892875921e-07,-1.879340221962566e-05
198,-8.547632510744984e-07,-1.834897135229945e-05
199,-8.562830166796073e-07,-1.79030463140645e-05
200,-8.576422044623024e-07,-1.745571322844493e-05
201,-8.588397745966704e-07,-1.700705535915835e-05
202,-8.598747291130268e-07,-1.655715308389964e-05
203,-8.607461119328901e-07,-1.610608387069117e-05
204,-8.614530088979643e-07,-1.565392225679146e-05
205,-8.619945477936865e-07,-1.520073983015213e-05
206,-8.623698983678853e-07,-1.474660521341309e-05
207,-8.625782723450724e-07,-1.429158405042301e-05
208,-8.626189234369165e-07,-1.383573899527246e-05
209,-8.624911473493978e-07,-1.337912970382429e-05
210,-8.621942817871838e-07,-1.292181282772626e-05
211,-8.617277064556998e-07,-1.246384201088806e-05
212,-8.610908430614074e-07,-1.200526788840509e-05
213,-8.602831553107537e-07,-1.154613808790922e-05
214,-8.593041489082959e-07,-1.108649723332563e-05
215,-8.581533715544122e-07,-1.062638695101495e-05
216,-8.568304129430904e-07,-1.016584587827652e-05
217,-8.553349047602073e-07,-9.704909674189404e-06
218,-8.536665206827283e-07,-9.243611032766173e-06
219,-8.518249763792247e-07,-8.781979698392618e-06
220,-8.498100295121347e-07,-8.320042483526545e-06
221,-8.476214797421034e-07,-7.857823288627101e-06
222,-8.452591687348228e-07,-7.395343124284993e-06
223,-8.427229801706696e-07,-6.932620135523649e-06
224,-8.40012839757536e-07,-6.469669628239369e-06
225,-8.371287152471209e-07,-6.006504097748017e-06
226,-8.340706164550343e-07,-5.543133259405624e-06
227,-8.308385952849746e-07,-5.079564081267241e-06
228,-8.274327457572752e-07,-4.615800818749945e-06
229,-8.238532040420596e-07,-4.151845051263138e-06
230,-8.20100148497272e-07,-3.687695720769169e-06
231,-8.161737997117936e-07,-3.223349172236568e-06
232,-8.120744205538513e-07,-2.758799195946661e-06
233,-8.078023162249129e-07,-2.294037071614518e-06
234,-8.033578343192678e-07,-1.829051614283057e-06
235,-7.987413648894089e-07,-1.363829221949955e-06
236,-7.939533405173831e-07,-8.983539248848122e-07
237,-7.889942363922502e-07,-4.326074365937195e-07
238,-7.838645703936978e-07,3.343079361120348e-08
239,-7.785649031819654e-07,4.997835264825763e-07
240,-7.730958382941214e-07,9.664756771930326e-07
241,-7.674580222467223e-07,1.433534258220039e-06
242,-7.61652144644935e-07,1.900988320807096e-06
243,-7.556789382981114e-07,2.368868895047351e-06
244,-7.495391793418245e-07,2.837208928636707e-06
245,-7.432336873663437e-07,3.306043224344722e-06
246,-7.367633255515257e-07,3.77540837625091e-06
247,-7.301290008080721e-07,4.245342704795475e-06
248,-7.23331663925052e-07,4.715886190693451e-06
249,-7.163723097236794e-07,5.187080407762273e-06
250,-7.092519772171385e-07,5.658968454712169e-06
251,-7.019717497764439e-07,6.131594885950199e-06
252,-6.945327553021335e-07,6.605005641448756e-06
253,-6.869361664016688e-07,7.07924797572906e-06
254,-6.791832005723684e-07,7.554370386011991e-06
255,-6.712751203896993e-07,8.030422539586574e-06
256,-6.632132337007354e-07,8.507455200449456e-06
257,-6.549988938225314e-07,8.985520155266328e-06
258,-6.466334997452462e-07,9.464670138708336e-06
259,-6.381184963397259e-07,9.944958758215429e-06
260,-6.29455374569294e-07,1.042644041823968e-05
