"Time","vhx","vhy"
0,0,0
1,9.661685098468055e-14,-7.260664489542689e-11
2,2.651444982659226e-13,-3.156691941673779e-10
3,2.99326859531282e-13,-7.689799271058947e-10
4,-3.266722216315189e-14,-1.472198337843141e-09
5,-9.788951981451305e-13,-2.460695440171032e-09
6,-2.80163659154004e-12,-3.764302508441719e-09
7,-5.778562502934555e-12,-5.407518889022926e-09
8,-1.020484465163126e-11,-7.410352940470235e-09
9,-1.639505321306844e-11,-9.789341212742946e-09
10,-2.468429636049095e-11,-1.255850964029139e-08
11,-3.542838805628646e-11,-1.573016699375097e-08
12,-4.900301214483163e-11,-1.931549218252346e-08
13,-6.580194646027349e-11,-2.33249157412112e-08
14,-8.623445782413377e-11,-2.776831549638469e-08
15,-1.107219985785248e-10,-3.265505506305154e-08
16,-1.396943396739972e-10,-3.799389624522131e-08
17,-1.735852711676519e-10,-4.379281543659517e-08
18,-2.128279922463446e-10,-5.005875139737738e-08
19,-2.578503018787366e-10,-5.679730829352346e-08
20,-3.090696892750077e-10,-6.401243418733026e-08
21,-3.668884112962114e-10,-7.170609158006172e-08
22,-4.316886322792636e-10,-7.987793329796747e-08
23,-5.038276907016245e-10,-8.852499406347195e-08
24,-5.836335468514417e-10,-9.764140553073807e-08
25,-6.714004562660219e-10,-1.072181403847127e-07
26,-7.673849051754447e-10,-1.17242789282215e-07
27,-8.718018365281469e-10,-1.276993729199204e-07
28,-9.848211883499249e-10,-1.385681903102403e-07
29,-1.106564760152507e-09,-1.498257033941982e-07
30,-1.23710341781031e-09,-1.614444573838073e-07
31,-1.376454642708707e-09,-1.733930356711679e-07
32,-1.524580426976035e-09,-1.856360477365992e-07
33,-1.68138551318842e-09,-1.981341482063119e-07
34,-1.846715974026107e-09,-2.108440850276098e-07
35,-2.020358124909653e-09,-2.237187746259088e-07
36,-2.202037760604919e-09,-2.367074018657692e-07
37,-2.391419705111696e-09,-2.497555426431202e-07
38,-2.58810766279868e-09,-2.628053069760743e-07
39,-2.791644357679921e-09,-2.757955005273625e-07
40,-3.001511946908279e-09,-2.886618025746727e-07
41,-3.21713269395813e-09,-3.013369585398393e-07
42,-3.437869886554944e-09,-3.137509852889152e-07
43,-3.663028984155309e-09,-3.258313875190528e-07
44,-3.891858979666442e-09,-3.375033836518416e-07
45,-4.123553960098215e-09,-3.486901397543553e-07
46,-4.357254850943836e-09,-3.593130101070384e-07
47,-4.592051329273588e-09,-3.692917831308765e-07
48,-4.826983890783045e-09,-3.785449314743066e-07
49,-5.061046056352761e-09,-3.86989865142807e-07
50,-5.293186704038214e-09,-3.945431866309412e-07
51,-5.522312512807691e-09,-4.011209470878989e-07
52,-5.747290504773699e-09,-4.066389026135226e-07
53,-5.966950673114869e-09,-4.11012769842615e-07
54,-6.180088683350509e-09,-4.141584800315049e-07
55,-6.385468636107732e-09,-4.159924309125262e-07
56,-6.581825880004644e-09,-4.164317356299532e-07
57,-6.767869863759915e-09,-4.153944681150465e-07
58,-6.942287017123491e-09,-4.127999042989103e-07
59,-7.103743650708765e-09,-4.08568758599978e-07
60,-7.250888865282359e-09,-4.026234151585473e-07
61,-7.382357461538728e-09,-3.948881533242433e-07
62,-7.49677284185089e-09,-3.852893669337402e-07
63,-7.592749895940335e-09,-3.737557769459529e-07
64,-7.668897862852728e-09,-3.602186370303271e-07
65,-7.723823162057669e-09,-3.446119317310354e-07
66,-7.756132186911223e-09,-3.268725668561125e-07
67,-7.764434054129537e-09,-3.069405517657803e-07
68,-7.747343303316751e-09,-2.84759173258884e-07
69,-7.70348254097763e-09,-2.602751607801766e-07
70,-7.631485023814764e-09,-2.334388426947125e-07
71,-7.529997176476804e-09,-2.04204293398531e-07
72,-7.397681039264297e-09,-1.72529471057405e-07
73,-7.233216641648116e-09,-1.38376345787749e-07
74,-7.03530429777131e-09,-1.017110181157383e-07
75,-6.80266682042856e-09,-6.250382757245498e-08
76,-6.534051650315286e-09,-2.072945130439788e-08
77,-6.228232897637411e-09,2.363300740005118e-08
78,-5.884013293453025e-09,7.059994074648845e-08
79,-5.500226048392172e-09,1.201831682901097e-07
80,-5.075736616664371e-09,1.723898790479353e-07
81,-4.609444363520952e-09,2.272225838839754e-07
82,-4.100284134579203e-09,2.846790781635923e-07
83,-3.547227725661333e-09,3.447524146534093e-07
84,-2.94928525202127e-09,4.074308866234596e-07
85,-2.305506416057848e-09,4.726980210890387e-07
86,-1.614981672824782e-09,5.405325821106663e-07
87,-8.76843292855899e-10,6.109085840520294e-07
88,-9.026632201223563e-11,6.8379531467751e-07
89,7.455305617375214e-10,7.59157367953047e-07
90,1.631284294518327e-09,8.369546863967265e-07
91,2.567686775469648e-09,9.171426128085601e-07
92,3.555384317943555e-09,9.996719511924335e-07
93,4.594977202384883e-09,1.084489036667281e-06
94,5.687019330134724e-09,1.171535814149147e-06
95,6.832017977243908e-09,1.260749925570931e-06
96,8.030433647243745e-09,1.352064805392351e-06
97,9.282680021672418e-09,1.445409784138993e-06
98,1.058912400702623e-08,1.540710199696296e-06
99,1.195008587667406e-08,1.63788751607186e-06
100,1.336583950614646e-08,1.736859449327813e-06
101,1.48366127000958e-08,1.837540100373821e-06
102,1.636258760910307e-08,1.939840094301027e-06
103,1.794390123440703e-08,2.043666725927478e-06
104,1.958064601851665e-08,2.148924111216753e-06
105,2.127287051958215e-08,2.255513344223094e-06
106,2.302058016728344e-08,2.363332659209144e-06
107,2.482373809793203e-08,2.47227759757539e-06
108,2.668226606637873e-08,2.582241179234637e-06
109,2.859604543223528e-08,2.693114078059486e-06
110,3.056491821786257e-08,2.804784801026441e-06
111,3.258868823547998e-08,2.917139870676483e-06
112,3.466712228070505e-08,3.030064010509104e-06
113,3.679995138975781e-08,3.143440332924552e-06
114,3.898687215749952e-08,3.257150529327742e-06
115,4.122754811343868e-08,3.371075062006512e-06
116,4.352161115276761e-08,3.485093357397147e-06
117,4.586866301945931e-08,3.599084000350801e-06
118,4.826827683839918e-08,3.712924929016211e-06
119,5.071999869350644e-08,3.826493629956246e-06
120,5.322334924873829e-08,3.939667333118944e-06
121,5.577782540886925e-08,4.052323206287491e-06
122,5.838290201688493e-08,4.164338548637882e-06
123,6.103803358482483e-08,4.275590983038244e-06
124,6.374265605487742e-08,4.385958646729445e-06
125,6.64961885875216e-08,4.495320380033203e-06
126,6.929803537349927e-08,4.603555912740727e-06
127,7.214758746637978e-08,4.710546047842734e-06
128,7.504422463249955e-08,4.816172842269832e-06
129,7.798731721502967e-08,4.920319784321119e-06
130,8.097622800894869e-08,5.022871967468086e-06
131,8.401031414369268e-08,5.123716260230956e-06
132,8.708892897026719e-08,5.222741471834699e-06
133,9.021142394961715e-08,5.319838513363064e-06
134,9.337715053907246e-08,5.414900554140026e-06
135,9.658546207369393e-08,5.507823173079972e-06
136,9.983571563938509e-08,5.598504504759786e-06
137,1.031272739346383e-07,5.686845379978741e-06
138,1.064595071178411e-07,5.772749460584762e-06
139,1.098317946370661e-07,5.856123368358728e-06
140,1.132435270393409e-07,5.936876807762043e-06
141,1.166941077563973e-07,6.014922682366291e-06
142,1.201829548639636e-07,6.090177204797623e-06
143,1.237095028117009e-07,6.162560000042858e-06
144,1.272732041209263e-07,6.231994201978277e-06
145,1.308735310473215e-07,6.298406542996743e-06
146,1.345099772058707e-07,6.361727436623239e-06
147,1.381820591553359e-07,6.421891053023432e-06
148,1.418893179396282e-07,6.478835387324793e-06
149,1.456313205834901e-07,6.53250232068424e-06
150,1.494076615399759e-07,6.582837674051177e-06
151,1.532179640872728e-07,6.629791254589353e-06
152,1.57061881672478e-07,6.673316894735734e-06
153,1.609390992000118e-07,6.713372483888837e-06
154,1.648493342624202e-07,6.749919992733753e-06
155,1.687923383113964e-07,6.782925490225101e-06
156,1.727678977669147e-07,6.812359153263334e-06
157,1.76775835062465e-07,6.838195269113753e-06
158,1.808160096244385e-07,6.860412230631348e-06
159,1.848883187838071e-07,6.878992524367965e-06
160,1.889926986183136e-07,6.893922711651455e-06
161,1.931291247234831e-07,6.905193402739527e-06
162,1.972976129108406e-07,6.912799224163431e-06
163,2.014982198318157e-07,6.916738779389004e-06
164,2.057310435259022e-07,6.917014602934429e-06
165,2.099962238917256e-07,6.913633108095625e-06
166,2.142939430797667e-07,6.906604528441301e-06
167,2.186244258055861e-07,6.895942853250447e-06
168,2.22987939582472e-07,6.881665757075292e-06
169,2.273847948725504e-07,6.863794523622699e-06
170,2.318153451554721e-07,6.842353964156213e-06
171,2.362799869138983e-07,6.817372330629943e-06
172,2.407791595351016e-07,6.788881223773995e-06
173,2.453133451280887e-07,6.756915496358889e-06
174,2.498830682557655e-07,6.721513151873948e-06
175,2.54488895581748e-07,6.682715238861405e-06
176,2.591314354315212e-07,6.640565741154513e-06
177,2.638113372677716e-07,6.595111464273524e-06
178,2.685292910797792e-07,6.546401918238812e-06
179,2.732860266868869e-07,6.494489197065088e-06
180,2.780823129561546e-07,6.4394278552048e-06
181,2.82918956934398e-07,6.381274781212408e-06
182,2.877968028949139e-07,6.320089068904274e-06
183,2.927167312993148e-07,6.255931886291229e-06
184,2.97679657674948e-07,6.188866342563068e-06
185,3.026865314085257e-07,6.118957353405265e-06
186,3.077383344566536e-07,6.046271504929106e-06
187,3.128360799740587e-07,5.970876916496663e-06
188,3.179808108604083e-07,5.892843102721634e-06
189,3.231735982267195e-07,5.812240834926235e-06
190,3.284155397824286e-07,5.729142002332865e-06
191,3.337077581443269e-07,5.643619473267279e-06
192,3.390513990686098e-07,5.555746956647552e-06
193,3.444476296074211e-07,5.465598864030074e-06
194,3.49897636191356e-07,5.373250172480218e-06
195,3.554026226394555e-07,5.278776288531532e-06
196,3.609638080983426e-07,5.182252913492381e-06
197,3.665824249122235e-07,5.083755910354447e-06
198,3.722597164255623e-07,4.983361172551716e-06
199,3.779969347203216e-07,4.88114449481281e-06
200,3.837953382897588e-07,4.777181446343204e-06
201,3.896561896508286e-07,4.671547246567111e-06
202,3.955807528973382e-07,4.564316643651646e-06
203,4.015702911960608e-07,4.455563796028451e-06
204,4.076260642281365e-07,4.345362157120028e-06
205,4.137493255780655e-07,4.233784363469684e-06
206,4.199413200727986e-07,4.120902126465712e-06
207,4.262032810733892e-07,4.006786127841255e-06
208,4.325364277218188e-07,3.891505919122392e-06
209,4.389419621455934e-07,3.775129825187408e-06
210,4.454210666228648e-07,3.657724852090604e-06
211,4.519749007108193e-07,3.539356599294192e-06
212,4.586045983401484e-07,3.420089176441418e-06
213,4.653112648785017e-07,3.299985124794267e-06
214,4.720959741658623e-07,3.179105343448111e-06
215,4.789597655247882e-07,3.057509020425495e-06
216,4.85903640748617e-07,2.935253568740293e-06
217,4.929285610706401e-07,2.812394567512816e-06
218,5.000354441174336e-07,2.688985708205435e-06
219,5.072251608494701e-07,2.565078746037455e-06
220,5.144985324922169e-07,2.440723456626981e-06
221,5.218563274609643e-07,2.315967597896425e-06
222,5.292992582826179e-07,2.190856877267593e-06
223,5.368279785178172e-07,2.065434924161008e-06
224,5.444430796866006e-07,1.939743267803571e-06
225,5.521450882010541e-07,1.813821320337661e-06
226,5.599344623082435e-07,1.687706365214073e-06
227,5.67811589046826e-07,1.56143355084062e-06
228,5.757767812207343e-07,1.435035889447956e-06
229,5.838302743933445e-07,1.308544261123408e-06
230,5.919722239055169e-07,1.181987422953965e-06
231,6.002027019209185e-07,1.05539202320929e-06
232,6.085216945020956e-07,9.287826204861177e-07
233,6.169290987206059e-07,8.021817077257052e-07
234,6.254247198047329e-07,6.756097410068233e-07
235,6.340082683280873e-07,5.490851730078925e-07
236,6.426793574425338e-07,4.226244910229292e-07
237,6.514375001587851e-07,2.962422594076243e-07
238,6.602821066780363e-07,1.699511663239462e-07
239,6.69212481777966e-07,4.376207464346019e-08
240,6.782278222563931e-07,-8.231592313753559e-08
241,6.873272144358789e-07,-2.082754461252917e-07
242,6.965096317325466e-07,-3.341107625592965e-07
243,7.057739322922772e-07,-4.598177238136415e-07
244,7.151188566975252e-07,-5.853936950425075e-07
245,7.245430257478121e-07,-7.108374826487724e-07
246,7.340449383170714e-07,-8.361492587600157e-07
